,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,left,promotion_last_5years,sales,salary,prediction
2927,0.97,0.79,2,272,2,0,0,0,sales,medium,0.028291271
2928,0.58,0.75,4,253,2,0,0,0,sales,low,0.028291271
2929,0.49,0.77,2,254,2,0,0,0,sales,low,0.028291271
2930,0.69,0.98,3,214,2,0,0,0,sales,low,0.028291271
2931,0.65,0.89,4,240,3,0,0,0,sales,low,0.028291271
2932,0.12,0.7,4,276,4,0,0,0,sales,low,0.028291271
2933,0.65,0.84,4,247,4,0,0,0,accounting,high,0.028291271
2934,0.23,0.66,4,212,4,1,0,0,accounting,low,0.028291271
2935,0.62,0.77,4,256,3,0,0,0,accounting,high,0.028291271
2936,0.86,0.72,4,178,2,0,0,0,hr,high,0.028291271
2937,0.85,0.6,4,255,4,0,0,0,hr,low,0.028291271
2938,0.74,0.76,3,224,2,0,0,0,hr,low,0.028291271
2939,0.53,0.76,2,204,4,0,0,0,hr,high,0.028291271
2940,0.99,0.44,6,104,6,0,0,0,technical,low,0.053642914
2941,0.48,0.81,5,113,3,0,0,0,technical,medium,0.028291271
2942,0.72,0.74,3,243,2,0,0,0,technical,high,0.028291271
2943,0.76,0.72,3,242,5,1,0,0,technical,medium,0.053642914
2944,0.41,0.7,4,177,3,0,0,0,technical,medium,0.028291271
2945,0.85,0.88,3,235,2,0,0,0,technical,medium,0.028291271
2946,0.16,0.78,4,280,6,0,0,0,technical,high,0.053642914
2947,0.73,0.95,4,243,3,0,0,0,technical,medium,0.028291271
2948,0.28,0.76,3,150,2,0,0,0,technical,medium,0.028291271
2949,0.85,0.86,3,231,3,0,0,0,support,medium,0.028291271
2950,0.56,0.76,3,134,2,0,0,0,support,high,0.028291271
2951,0.81,1,5,143,2,0,0,0,support,low,0.028291271
2952,0.83,0.87,3,156,3,0,0,0,support,medium,0.028291271
2953,0.81,0.97,3,247,3,0,0,0,support,medium,0.028291271
2954,0.56,0.92,5,222,4,0,0,0,support,medium,0.028291271
2955,0.77,0.83,3,160,3,0,0,0,support,low,0.028291271
2956,0.73,0.5,4,224,4,1,0,0,support,low,0.028291271
2957,0.95,0.72,4,235,2,0,0,0,support,low,0.028291271
2958,0.79,0.89,3,104,4,0,0,0,technical,low,0.028291271
2959,0.8,0.79,4,168,3,0,0,0,management,low,0.028291271
2960,0.92,0.9,4,249,3,0,0,0,IT,low,0.028291271
2961,0.96,0.75,4,177,2,0,0,0,IT,low,0.028291271
2962,0.56,0.85,3,225,3,0,0,0,IT,high,0.028291271
2963,0.5,0.82,3,133,2,1,0,0,product_mng,low,0.028291271
2964,0.49,0.58,4,213,4,1,0,0,product_mng,low,0.028291271
2965,1,0.73,3,245,2,1,0,0,product_mng,low,0.028291271
2966,0.82,0.75,5,160,3,1,0,0,product_mng,high,0.028291271
2967,0.76,0.96,4,135,3,1,0,1,RandD,low,0.028291271
2968,0.2,0.53,3,149,4,0,0,1,RandD,low,0.028291271
2969,0.6,0.9,4,178,3,0,0,1,RandD,high,0.028291271
2970,0.69,0.9,6,224,4,0,0,1,RandD,low,0.028291271
2971,0.24,0.65,6,275,5,1,0,1,support,medium,0.053642914
2972,0.83,0.91,3,168,3,0,0,1,technical,medium,0.028291271
2973,0.55,0.85,3,152,2,0,0,1,management,medium,0.028291271
2974,0.68,0.99,3,263,3,1,0,1,marketing,medium,0.028291271
2975,0.48,0.53,3,113,4,0,0,0,marketing,medium,0.028291271
2976,0.75,0.95,3,253,3,0,0,0,marketing,medium,0.028291271
2977,0.5,0.74,4,165,2,1,0,0,sales,medium,0.028291271
2978,0.93,0.92,3,248,2,0,0,0,sales,medium,0.028291271
2979,0.92,0.99,5,236,4,0,0,0,sales,medium,0.028291271
2980,0.71,0.98,5,213,3,0,0,0,sales,medium,0.028291271
2981,0.14,0.83,5,153,5,1,0,0,sales,medium,0.625
2982,0.56,0.72,4,247,2,0,0,0,sales,medium,0.028291271
2983,1,0.84,3,154,3,0,0,0,sales,medium,0.028291271
2984,0.77,0.82,3,147,4,0,0,0,sales,high,0.028291271
2985,0.88,0.95,3,137,3,0,0,0,sales,low,0.028291271
2986,0.85,0.84,5,179,3,0,0,0,sales,low,0.028291271
2987,0.84,0.83,3,215,3,0,0,0,accounting,high,0.028291271
2988,0.23,0.59,5,245,5,0,0,0,hr,low,0.053642914
2989,0.89,0.75,3,134,3,0,0,0,hr,low,0.028291271
2990,0.98,0.91,4,273,2,0,0,0,hr,low,0.028291271
2991,0.88,0.83,4,163,3,0,0,0,hr,low,0.028291271
2992,0.87,0.52,3,152,4,0,0,0,technical,low,0.028291271
2993,0.93,0.96,3,268,4,0,0,0,technical,low,0.028291271
2994,0.13,0.95,5,149,2,0,0,0,technical,low,0.028291271
2995,0.99,0.56,6,128,4,0,0,0,technical,medium,0.028291271
2996,0.58,0.98,3,146,3,0,0,0,technical,medium,0.028291271
2997,1,0.8,5,162,3,1,0,0,technical,medium,0.028291271
2998,0.63,0.9,3,142,3,0,0,0,support,medium,0.028291271
2999,0.59,0.62,3,203,4,0,0,0,support,medium,0.028291271
3000,0.88,0.77,4,168,4,0,0,0,support,medium,0.028291271
3001,0.72,0.7,3,149,3,0,0,0,support,medium,0.028291271
3002,0.67,0.81,4,168,2,0,0,0,support,high,0.028291271
3003,0.41,0.54,2,190,4,0,0,0,support,low,0.028291271
3004,0.3,0.68,3,229,6,0,0,0,support,medium,0.053642914
3005,0.83,0.84,3,249,2,0,0,0,support,medium,0.028291271
3006,0.73,0.93,4,162,2,1,0,0,support,medium,0.028291271
3007,0.87,0.9,4,163,2,0,0,0,support,medium,0.028291271
3008,0.93,0.74,2,169,4,0,0,0,support,low,0.028291271
3009,0.97,0.91,4,257,3,1,0,0,technical,low,0.028291271
3010,0.7,0.54,4,150,4,0,0,0,technical,low,0.028291271
3011,0.66,0.95,4,183,3,0,0,0,technical,low,0.028291271
3012,0.32,0.72,2,240,5,0,0,0,IT,low,0.053642914
3013,0.55,0.81,5,251,3,0,0,0,IT,low,0.028291271
3014,0.69,0.91,5,205,2,0,0,0,IT,low,0.028291271
3015,0.33,0.82,5,249,6,0,0,0,product_mng,low,0.625
3016,0.37,0.74,2,197,3,0,0,0,product_mng,low,0.028291271
3017,0.17,0.91,4,260,5,0,0,0,product_mng,low,0.625
3018,0.27,0.69,2,177,5,0,0,0,RandD,low,0.053642914
3019,0.91,0.95,4,171,3,0,0,0,RandD,low,0.028291271
3020,0.78,0.87,4,264,3,0,0,0,accounting,medium,0.028291271
3021,0.6,0.81,4,245,3,1,0,0,support,medium,0.028291271
3022,0.15,0.91,2,207,3,0,0,0,technical,medium,0.028291271
3023,0.72,0.92,3,225,3,0,0,0,management,medium,0.028291271
3024,0.94,0.85,4,236,2,0,0,0,marketing,medium,0.028291271
3025,0.6,0.88,3,261,3,1,0,0,marketing,medium,0.028291271
3026,0.8,0.91,3,202,2,0,0,0,sales,medium,0.028291271
3027,0.67,0.83,4,195,3,0,0,0,sales,medium,0.028291271
3028,0.71,0.88,4,266,3,0,0,0,sales,high,0.028291271
3029,0.66,0.85,3,266,5,0,0,0,sales,low,0.625
3030,0.77,0.74,5,263,2,0,0,0,sales,medium,0.028291271
3031,0.89,0.75,5,258,2,0,0,0,sales,medium,0.028291271
3032,0.74,0.83,4,170,2,0,0,0,sales,low,0.028291271
3033,0.19,0.8,4,249,5,0,0,0,sales,low,0.053642914
3034,0.83,0.77,3,171,3,0,0,0,sales,low,0.028291271
3035,0.53,0.64,2,177,4,0,0,0,sales,low,0.028291271
3036,0.98,0.75,5,188,2,0,0,0,sales,low,0.028291271
3037,0.74,0.99,5,146,2,0,0,0,sales,low,0.028291271
3038,0.22,0.88,5,154,5,0,0,0,sales,low,0.625
3039,0.89,0.91,5,224,3,1,0,0,sales,low,0.028291271
3040,0.5,0.84,3,156,4,0,0,0,accounting,low,0.028291271
3041,0.17,0.82,6,259,4,0,0,0,accounting,low,0.028291271
3042,0.46,0.38,6,165,3,0,0,0,accounting,low,0.028291271
3043,0.68,0.78,3,264,3,0,0,0,hr,low,0.028291271
3044,0.77,0.86,4,215,2,0,0,0,hr,low,0.028291271
3045,0.68,0.83,3,133,3,0,0,0,hr,low,0.028291271
3046,0.15,0.7,4,220,4,0,0,0,hr,low,0.028291271
3047,0.7,0.98,4,176,5,0,0,0,technical,low,0.625
3048,0.66,0.96,4,103,2,0,0,0,technical,low,0.028291271
3049,0.14,0.83,5,171,6,0,0,0,technical,medium,0.625
3050,0.73,0.86,4,179,3,0,0,0,technical,medium,0.028291271
3051,0.65,0.97,4,145,2,0,0,0,technical,medium,0.028291271
3052,0.68,0.85,3,243,4,0,0,0,technical,medium,0.028291271
3053,0.77,0.96,6,225,4,0,0,0,support,medium,0.028291271
3054,0.48,0.89,3,261,2,0,0,0,support,medium,0.028291271
3055,0.5,0.85,4,224,6,0,0,0,support,high,0.625
3056,0.52,0.91,5,193,2,0,0,0,support,low,0.028291271
3057,0.73,0.79,4,157,3,0,0,0,support,medium,0.028291271
3058,0.99,0.87,4,223,3,0,0,0,support,medium,0.028291271
3059,0.91,0.99,3,188,3,1,0,0,support,medium,0.028291271
3060,0.85,0.79,3,217,2,0,0,0,technical,medium,0.028291271
3061,0.67,0.85,3,153,4,0,0,0,technical,low,0.028291271
3062,0.99,0.95,4,102,5,0,0,0,IT,low,0.625
3063,0.98,0.72,3,252,2,0,0,0,IT,low,0.028291271
3064,0.74,0.79,5,237,4,0,0,0,product_mng,low,0.028291271
3065,0.8,0.93,3,260,3,0,0,0,product_mng,low,0.028291271
3066,0.53,0.52,3,233,4,0,0,0,IT,low,0.028291271
3067,0.16,0.96,6,211,6,1,0,0,RandD,low,0.625
3068,0.84,0.8,3,151,3,1,0,0,RandD,low,0.028291271
3069,0.78,0.95,3,249,4,0,0,0,RandD,low,0.028291271
3070,0.66,0.91,5,199,3,1,0,0,marketing,low,0.028291271
3071,0.7,0.74,4,247,2,0,0,0,sales,low,0.028291271
3072,0.65,0.88,4,268,4,0,0,0,support,medium,0.028291271
3073,0.79,0.59,5,197,4,0,0,0,technical,medium,0.028291271
3074,0.24,0.58,5,279,4,0,0,0,marketing,medium,0.028291271
3075,0.95,0.78,3,204,2,1,0,0,marketing,medium,0.028291271
3076,0.9,0.78,4,261,2,1,0,0,sales,medium,0.028291271
3077,0.5,0.4,3,180,4,0,0,0,sales,medium,0.028291271
3078,0.68,0.61,3,261,5,0,0,0,sales,medium,0.053642914
3079,0.5,0.78,6,138,3,0,0,0,sales,medium,0.028291271
3080,0.85,0.81,4,164,4,0,0,0,sales,medium,0.028291271
3081,0.92,0.92,3,244,2,0,0,0,sales,high,0.028291271
3082,0.83,0.87,5,233,3,0,0,0,sales,low,0.028291271
3083,0.9,0.78,4,225,2,1,0,0,sales,medium,0.028291271
3084,0.21,0.77,6,215,4,0,0,0,sales,medium,0.028291271
3085,0.94,0.86,3,223,4,0,0,0,sales,medium,0.028291271
3086,0.7,0.85,4,232,3,0,0,0,sales,medium,0.028291271
3087,0.54,0.76,3,157,4,0,0,0,sales,low,0.028291271
3088,0.81,0.86,3,210,3,0,0,0,sales,low,0.028291271
3089,0.99,0.79,4,133,2,0,0,0,sales,low,0.028291271
3090,0.66,0.63,5,264,5,0,0,0,accounting,low,0.053642914
3091,0.9,0.72,5,237,2,0,0,0,accounting,low,0.028291271
3092,0.65,0.78,4,238,5,1,0,0,hr,low,0.053642914
3093,0.83,0.72,4,161,3,0,0,0,hr,low,0.028291271
3094,0.6,0.82,4,194,3,0,0,0,hr,low,0.028291271
3095,0.55,0.93,3,217,3,1,0,0,technical,low,0.028291271
3096,0.96,0.71,3,170,3,0,0,0,technical,low,0.028291271
3097,0.83,0.94,4,243,3,0,0,0,technical,low,0.028291271
3098,0.95,0.7,4,267,3,1,0,0,technical,low,0.028291271
3099,0.77,0.88,2,169,3,0,0,0,technical,medium,0.028291271
3100,0.83,0.95,3,255,3,0,0,0,technical,medium,0.028291271
3101,0.69,0.49,3,198,4,0,0,0,technical,medium,0.028291271
3102,0.55,0.82,4,134,6,0,0,0,technical,medium,0.625
3103,0.51,0.93,5,232,3,0,0,0,support,medium,0.028291271
3104,0.96,0.93,4,260,3,0,0,0,support,medium,0.028291271
3105,0.68,0.81,3,232,2,0,0,0,support,medium,0.028291271
3106,0.67,0.71,4,173,3,0,0,0,support,high,0.028291271
3107,0.68,0.44,5,152,5,0,0,0,support,low,0.053642914
3108,0.9,0.7,3,274,3,0,0,0,support,medium,0.028291271
3109,0.99,0.71,4,232,3,0,0,0,support,medium,0.028291271
3110,0.91,0.53,3,273,6,0,0,0,management,low,0.053642914
3111,0.53,0.98,3,219,4,0,0,0,IT,low,0.028291271
3112,0.87,0.74,4,207,3,0,0,0,IT,low,0.028291271
3113,0.57,0.6,4,248,4,0,0,0,IT,low,0.028291271
3114,0.59,0.77,3,169,3,0,0,0,IT,low,0.028291271
3115,0.76,0.89,4,181,3,0,0,0,IT,low,0.028291271
3116,0.55,0.55,4,191,4,0,0,0,product_mng,low,0.028291271
3117,0.61,0.7,4,243,3,0,0,0,RandD,low,0.028291271
3118,0.74,0.84,3,206,3,0,0,0,RandD,low,0.028291271
3119,0.84,0.96,3,161,2,1,0,0,sales,low,0.028291271
3120,0.77,0.89,5,152,3,0,0,0,support,medium,0.028291271
3121,0.64,0.71,3,231,4,0,0,0,technical,medium,0.028291271
3122,0.77,0.89,2,215,5,1,0,0,management,medium,0.625
3123,0.74,0.58,4,233,4,0,0,0,marketing,medium,0.028291271
3124,0.88,0.96,4,155,2,0,0,0,marketing,medium,0.028291271
3125,0.88,0.96,5,182,4,1,0,0,marketing,medium,0.028291271
3126,0.89,0.88,3,165,4,0,0,0,sales,medium,0.028291271
3127,0.74,0.59,2,257,4,1,0,0,sales,medium,0.028291271
3128,0.63,0.74,4,155,2,0,0,0,sales,medium,0.028291271
3129,0.63,0.8,4,243,2,0,0,0,sales,medium,0.028291271
3130,0.68,0.92,2,184,4,0,0,0,sales,medium,0.028291271
3131,0.14,0.81,4,138,3,1,0,0,sales,high,0.028291271
3132,0.86,0.94,5,209,4,0,0,0,sales,low,0.028291271
3133,0.97,0.75,5,270,3,1,0,0,sales,medium,0.028291271
3134,0.67,0.36,4,97,4,0,0,0,sales,medium,0.028291271
3135,0.89,0.74,4,174,2,0,0,0,sales,low,0.028291271
3136,0.8,0.96,5,124,3,0,0,0,sales,low,0.028291271
3137,0.14,0.73,5,266,6,0,0,0,sales,low,0.053642914
3138,0.91,0.8,4,181,3,0,0,0,sales,low,0.028291271
3139,0.49,0.81,4,233,3,0,0,0,sales,low,0.028291271
3140,0.57,0.68,3,254,4,0,0,0,sales,low,0.028291271
3141,0.5,0.7,5,166,2,0,0,0,accounting,low,0.028291271
3142,0.69,0.97,3,158,2,0,0,0,accounting,low,0.028291271
3143,0.79,0.82,3,98,3,1,0,0,hr,low,0.028291271
3144,0.55,0.91,4,187,4,1,0,0,hr,low,0.028291271
3145,0.53,0.92,4,223,3,1,0,0,technical,low,0.028291271
3146,0.77,0.59,5,189,5,0,0,0,technical,low,0.053642914
3147,0.57,0.82,5,138,3,0,0,0,technical,low,0.028291271
3148,0.64,0.97,4,268,2,0,0,0,technical,low,0.028291271
3149,0.35,1,6,186,2,0,0,0,technical,low,0.028291271
3150,0.66,0.71,3,136,3,1,0,0,technical,medium,0.028291271
3151,0.59,0.84,4,245,3,0,0,0,technical,medium,0.028291271
3152,0.49,0.93,4,184,3,0,0,0,technical,medium,0.028291271
3153,0.91,0.99,5,152,3,0,0,0,technical,medium,0.028291271
3154,0.12,0.6,2,194,4,0,0,0,technical,medium,0.028291271
3155,0.74,0.68,3,242,5,1,0,0,support,medium,0.053642914
3156,0.84,0.94,4,246,2,1,0,0,support,medium,0.028291271
3157,0.51,0.99,4,211,3,0,0,0,support,medium,0.028291271
3158,0.94,0.71,4,189,3,0,0,0,support,medium,0.028291271
3159,0.31,0.92,4,133,6,0,0,0,support,medium,0.625
3160,0.92,1,3,212,2,0,0,0,support,low,0.028291271
3161,0.76,0.45,5,177,6,0,0,0,support,medium,0.053642914
3162,0.59,0.9,4,261,4,0,0,0,technical,medium,0.028291271
3163,0.5,0.74,3,220,3,0,0,0,technical,medium,0.028291271
3164,0.88,0.72,2,144,4,1,0,0,technical,low,0.028291271
3165,0.66,0.99,4,195,3,0,0,0,IT,low,0.028291271
3166,0.98,0.93,5,145,4,0,0,0,IT,low,0.028291271
3167,0.61,0.73,3,165,3,1,0,0,IT,low,0.028291271
3168,0.84,0.91,5,208,3,0,0,0,product_mng,low,0.028291271
3169,0.76,0.4,2,245,5,0,0,0,product_mng,medium,0.053642914
3170,0.64,0.99,4,180,4,0,0,0,product_mng,medium,0.028291271
3171,0.87,0.7,5,225,3,0,0,0,product_mng,medium,0.028291271
3172,0.16,0.99,3,213,6,1,0,1,RandD,medium,0.625
3173,0.83,0.87,3,230,3,0,0,1,RandD,medium,0.028291271
3174,0.47,0.51,6,190,5,0,0,1,RandD,medium,0.053642914
3175,0.54,0.51,4,137,4,0,0,1,RandD,medium,0.028291271
3176,0.83,0.83,3,186,3,1,0,1,marketing,medium,0.028291271
3177,0.91,0.74,5,192,3,0,0,1,accounting,medium,0.028291271
3178,0.73,0.66,6,195,3,0,0,1,technical,medium,0.028291271
3179,0.75,0.74,5,231,3,0,0,1,marketing,medium,0.028291271
3180,0.49,0.76,3,257,2,1,0,0,marketing,medium,0.028291271
3181,0.57,0.94,4,257,3,0,0,0,marketing,medium,0.028291271
3182,0.53,0.7,3,138,2,0,0,0,sales,medium,0.028291271
3183,0.58,0.9,3,151,3,0,0,0,sales,medium,0.028291271
3184,0.74,0.8,4,241,2,0,0,0,sales,medium,0.028291271
3185,0.7,0.76,5,165,3,0,0,0,sales,medium,0.028291271
3186,0.93,0.75,3,243,2,0,0,0,sales,medium,0.028291271
3187,0.75,0.9,4,197,2,0,0,0,sales,medium,0.028291271
3188,0.95,0.48,5,214,6,1,0,1,sales,medium,0.053642914
3189,0.43,0.98,4,164,3,0,0,1,sales,medium,0.028291271
3190,0.77,0.58,4,243,4,1,0,1,sales,medium,0.028291271
3191,0.67,1,4,145,3,1,0,1,sales,medium,0.028291271
3192,0.51,0.72,4,163,4,0,0,1,sales,medium,0.028291271
3193,0.9,0.85,3,253,3,0,0,0,sales,medium,0.028291271
3194,0.8,0.78,4,234,3,0,0,0,sales,medium,0.028291271
3195,0.34,0.89,5,266,6,0,0,0,sales,medium,0.625
3196,0.45,0.53,3,181,4,1,0,0,accounting,low,0.028291271
3197,0.97,0.66,4,193,4,0,0,0,accounting,low,0.028291271
3198,0.5,0.48,3,163,4,0,0,0,accounting,low,0.028291271
3199,0.66,0.84,4,197,2,0,0,0,hr,low,0.028291271
3200,0.69,0.74,4,237,3,0,0,0,technical,low,0.028291271
3201,1,0.85,3,150,3,0,0,0,technical,low,0.028291271
3202,0.61,0.75,2,100,4,0,0,0,technical,low,0.028291271
3203,0.59,0.71,5,222,3,0,0,0,technical,low,0.028291271
3204,0.22,0.69,4,182,6,0,0,0,technical,low,0.053642914
3205,0.71,0.95,3,150,2,0,0,0,technical,low,0.028291271
3206,0.78,0.77,3,149,4,1,0,0,support,medium,0.028291271
3207,0.62,0.7,4,141,4,0,0,0,support,medium,0.028291271
3208,0.7,0.56,4,107,6,0,0,0,support,medium,0.053642914
3209,0.54,0.93,5,189,2,0,0,0,support,medium,0.028291271
3210,0.61,0.95,4,169,4,0,0,0,support,medium,0.028291271
3211,0.84,0.95,4,208,3,1,0,0,support,medium,0.028291271
3212,0.97,0.87,2,175,6,0,0,0,support,high,0.625
3213,0.96,0.51,3,237,4,0,0,0,technical,high,0.028291271
3214,0.73,0.87,4,155,3,1,0,0,technical,high,0.028291271
3215,0.73,0.71,4,148,3,0,0,0,management,high,0.028291271
3216,0.53,0.83,4,246,3,0,0,0,IT,high,0.028291271
3217,0.17,0.82,5,193,5,0,0,0,IT,high,0.625
3218,0.75,0.76,5,175,4,0,0,0,IT,low,0.028291271
3219,0.76,0.44,3,121,4,0,0,0,IT,low,0.028291271
3220,0.76,0.77,4,223,3,0,0,0,IT,low,0.028291271
3221,0.82,0.88,4,171,2,0,0,0,product_mng,low,0.028291271
3222,0.49,0.72,4,246,3,0,0,0,product_mng,low,0.028291271
3223,0.53,0.8,3,175,3,0,0,0,IT,low,0.028291271
3224,0.69,0.98,3,168,2,0,0,0,RandD,medium,0.028291271
3225,0.62,0.99,4,171,3,0,0,0,RandD,medium,0.028291271
3226,0.71,0.76,3,201,2,0,0,0,RandD,medium,0.028291271
3227,0.52,1,4,148,3,0,0,0,RandD,medium,0.028291271
3228,0.2,0.53,6,189,4,0,0,0,marketing,medium,0.028291271
3229,0.74,0.81,4,150,2,0,0,0,accounting,medium,0.028291271
3230,0.78,0.45,3,253,6,0,0,1,support,medium,0.053642914
3231,0.85,0.79,3,243,2,0,0,1,technical,medium,0.028291271
3232,0.92,0.91,3,228,2,0,0,1,marketing,medium,0.028291271
3233,0.58,0.97,3,186,3,0,0,1,marketing,medium,0.028291271
3234,0.68,0.72,3,213,3,0,0,1,marketing,medium,0.028291271
3235,0.67,0.71,5,265,2,0,0,1,sales,medium,0.028291271
3236,0.79,0.73,4,226,3,0,0,0,sales,medium,0.028291271
3237,0.23,0.48,5,221,6,0,0,0,sales,medium,0.053642914
3238,0.98,0.99,3,253,4,0,0,0,sales,medium,0.028291271
3239,0.8,0.75,3,134,4,0,0,0,sales,medium,0.028291271
3240,0.77,0.84,3,188,4,0,0,0,sales,medium,0.028291271
3241,1,0.91,3,160,4,0,0,0,sales,medium,0.028291271
3242,0.6,0.92,4,164,4,0,0,0,sales,medium,0.028291271
3243,0.49,0.54,6,214,3,0,0,0,sales,high,0.028291271
3244,0.91,0.99,5,228,4,1,0,0,sales,low,0.028291271
3245,0.71,0.76,3,175,2,0,0,0,sales,medium,0.028291271
3246,0.62,0.91,3,195,3,0,0,0,sales,medium,0.028291271
3247,0.61,0.92,3,222,4,0,0,0,sales,medium,0.028291271
3248,0.21,0.6,5,249,4,0,0,0,sales,medium,0.028291271
3249,0.64,0.97,2,226,3,1,0,0,sales,medium,0.028291271
3250,0.58,0.75,4,255,3,0,0,0,sales,medium,0.028291271
3251,0.41,0.9,6,155,2,0,0,0,accounting,medium,0.028291271
3252,0.98,0.73,5,185,3,0,0,0,accounting,medium,0.028291271
3253,0.5,0.88,4,275,5,0,0,0,accounting,low,0.625
3254,0.4,0.85,4,198,2,0,0,0,hr,low,0.028291271
3255,0.63,0.92,2,198,2,0,0,0,hr,low,0.028291271
3256,0.82,0.84,3,237,2,0,0,0,technical,low,0.028291271
3257,0.92,0.88,3,184,3,1,0,0,technical,low,0.028291271
3258,0.73,0.86,4,133,3,0,0,0,technical,high,0.028291271
3259,0.82,0.92,5,198,3,0,0,0,technical,low,0.028291271
3260,0.54,0.75,3,260,2,0,0,0,technical,low,0.028291271
3261,0.64,0.95,3,154,4,0,0,0,technical,high,0.028291271
3262,0.99,0.76,4,185,5,0,0,0,technical,low,0.053642914
3263,0.19,0.92,5,193,6,0,0,0,technical,medium,0.625
3264,0.86,0.96,4,167,3,0,0,0,support,high,0.028291271
3265,0.52,0.81,3,253,2,0,0,0,support,medium,0.028291271
3266,0.61,0.64,5,186,4,0,0,0,support,medium,0.028291271
3267,0.54,0.94,4,217,2,0,0,0,support,medium,0.028291271
3268,0.76,0.74,4,187,3,0,0,0,support,medium,0.028291271
3269,0.79,0.9,3,152,4,0,0,0,support,medium,0.028291271
3270,0.89,0.93,5,150,2,0,0,0,support,high,0.028291271
3271,0.6,0.8,3,191,2,0,0,0,support,medium,0.028291271
3272,0.2,0.72,5,123,2,1,0,0,technical,low,0.028291271
3273,0.77,0.54,3,227,4,0,0,0,management,medium,0.028291271
3274,0.8,0.87,4,220,2,0,0,0,IT,medium,0.028291271
3275,0.8,0.97,5,258,3,0,0,0,IT,medium,0.028291271
3276,0.62,0.92,5,149,3,0,0,0,IT,low,0.028291271
3277,0.79,0.72,4,192,3,0,0,0,IT,low,0.028291271
3278,0.88,0.73,5,267,3,0,0,0,IT,low,0.028291271
3279,0.96,0.73,5,169,3,1,0,0,product_mng,low,0.028291271
3280,0.34,0.65,2,165,4,0,0,0,product_mng,low,0.028291271
3281,0.88,0.85,4,231,3,0,0,0,product_mng,low,0.028291271
3282,0.55,0.71,4,181,2,1,0,0,RandD,low,0.028291271
3283,0.62,0.73,4,191,3,0,0,0,RandD,high,0.028291271
3284,0.78,0.93,3,200,3,0,0,0,RandD,low,0.028291271
3285,0.73,0.75,5,265,3,0,0,0,RandD,low,0.028291271
3286,0.71,0.94,4,246,3,0,0,0,marketing,low,0.028291271
3287,0.97,0.86,3,187,2,0,0,0,sales,low,0.028291271
3288,0.21,0.74,5,141,4,0,0,0,accounting,high,0.028291271
3289,0.52,0.96,4,246,3,0,0,0,support,low,0.028291271
3290,0.73,0.88,4,236,3,1,0,0,technical,low,0.028291271
3291,0.74,0.83,3,170,3,0,0,0,management,low,0.028291271
3292,0.26,0.71,6,189,2,0,0,0,marketing,high,0.028291271
3293,0.52,0.78,4,237,3,0,0,0,marketing,low,0.028291271
3294,0.79,0.59,2,157,6,0,0,0,sales,high,0.053642914
3295,0.34,0.87,4,283,2,0,0,0,sales,high,0.028291271
3296,0.36,0.73,3,187,3,0,0,0,sales,medium,0.028291271
3297,0.83,0.78,3,165,3,1,0,0,sales,medium,0.028291271
3298,0.89,0.89,4,265,2,0,0,0,sales,medium,0.028291271
3299,0.5,0.91,3,240,2,0,0,0,sales,medium,0.028291271
3300,0.54,0.84,4,174,2,0,0,0,sales,medium,0.028291271
3301,0.17,0.91,2,271,4,0,0,0,sales,medium,0.028291271
3302,0.45,0.64,5,133,4,0,0,0,accounting,medium,0.028291271
3303,0.98,0.64,3,263,4,0,0,0,accounting,medium,0.028291271
3304,0.55,0.8,4,260,3,0,0,0,hr,high,0.028291271
3305,0.75,0.48,2,284,6,0,0,0,hr,low,0.053642914
3306,0.71,0.97,3,189,3,1,0,0,technical,high,0.028291271
3307,0.33,0.94,4,166,6,0,0,0,technical,low,0.625
3308,0.93,0.94,3,183,2,0,0,0,technical,low,0.028291271
3309,0.27,0.45,3,239,4,0,0,0,technical,low,0.028291271
3310,0.99,0.99,3,158,2,0,0,0,technical,low,0.028291271
3311,0.6,0.91,4,236,3,0,0,0,technical,low,0.028291271
3312,0.32,0.4,6,162,5,0,0,0,technical,low,0.053642914
3313,0.91,0.79,5,273,4,1,0,0,support,medium,0.028291271
3314,0.24,0.89,5,142,4,0,0,0,support,medium,0.028291271
3315,0.66,0.56,4,141,4,0,0,0,support,medium,0.028291271
3316,0.93,0.97,5,255,4,0,0,0,support,medium,0.028291271
3317,0.19,0.55,5,148,4,0,0,0,support,medium,0.028291271
3318,0.53,0.95,2,101,5,0,0,0,technical,medium,0.625
3319,0.67,0.92,4,265,4,0,0,0,technical,medium,0.028291271
3320,0.5,0.38,5,175,4,0,0,0,technical,high,0.028291271
3321,0.49,0.76,4,202,3,0,0,0,management,low,0.028291271
3322,0.82,0.71,3,160,3,0,0,0,IT,medium,0.028291271
3323,0.86,0.71,3,235,3,0,0,0,IT,medium,0.028291271
3324,0.95,0.78,2,148,2,0,0,0,IT,low,0.028291271
3325,0.64,0.87,3,239,4,0,0,0,product_mng,low,0.028291271
3326,0.79,0.75,2,221,3,0,0,0,product_mng,low,0.028291271
3327,0.92,0.8,4,263,4,0,0,0,RandD,low,0.028291271
3328,0.6,0.83,2,189,2,0,0,0,RandD,low,0.028291271
3329,0.68,0.97,5,207,4,1,0,0,RandD,low,0.028291271
3330,0.58,0.73,3,265,6,0,0,0,RandD,low,0.053642914
3331,0.93,0.77,5,224,2,0,0,0,marketing,low,0.028291271
